label,synthetic,TD,DLD,total
[* m:++ed:i],115,16,2,133
[* m:++ed],104,3,0,107
[* m:++en:i],157,0,0,157
[* m:++er],153,0,0,153
[* m:++est],144,0,0,144
[* m:++s:i],144,0,0,144
[* m:++s],125,1,0,126
[* m:+3s:a],100,0,0,100
[* m:+3s],144,2,1,147
[* m:+ed],144,5,1,150
[* m:+en],100,0,0,100
[* m:+ing],101,3,0,104
[* m:+s:a],101,2,2,105
[* m:+s],2,0,0,2
[* m:0's],146,2,0,148
[* m:03s:a],114,70,98,282
[* m:0ed],100,3,2,105
[* m:0er],145,1,0,146
[* m:0est],150,0,0,150
[* m:0ing],171,5,1,177
[* m:0s:a],110,4,0,114
[* m:=ed],30,165,18,213
[* m:=en],100,0,0,100
[* m:=s],100,1,0,101
[* m:allo],83,71,15,169
[* m:base:ed],150,12,2,164
[* m:base:en],100,1,0,101
[* m:base:er],96,0,0,96
[* m:base:est],95,0,0,95
[* m:base:s],100,0,0,100
[* m:irr:ed],100,3,0,103
[* m:irr:en],231,0,0,231
[* m:irr:s],143,0,0,143
[* m:sub:ed],100,0,0,100
[* m:sub:en],102,1,0,103
[* m:vsg:a],130,9,9,148
[* m:vun:a],136,5,3,144
[* s:r:der],149,5,2,156
[* s:r:gc:det],190,5,4,199
[* s:r:gc:pro],143,49,13,205
[* s:r:prep],153,7,5,165
