run_name,split,n,acc
acl_rr_exp1_direct_stage3_seed3407,holdout_generalization,591,0.0
acl_rr_exp1_direct_stage3_seed3407,test_real,687,0.9490538573508006
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,370,0.8756756756756757
acl_rr_exp2_abs_nonword_seed3407,holdout_generalization,591,0.0
acl_rr_exp2_abs_nonword_seed3407,test_coverage,370,0.8945945945945946
acl_rr_exp2_abs_nonword_seed3407,test_real,687,0.9563318777292577
acl_rr_exp2_abs_off_no_recon_seed3407,eval_coverage,370,0.8729729729729729
acl_rr_exp2_abs_off_no_recon_seed3407,holdout_generalization,591,0.0
acl_rr_exp2_abs_off_no_recon_seed3407,test_coverage,370,0.8837837837837837
acl_rr_exp2_abs_off_no_recon_seed3407,test_real,687,0.9534206695778749
acl_rr_exp2_abs_on_manual_seed3407,holdout_generalization,591,0.0
acl_rr_exp2_abs_on_manual_seed3407,test_real,687,0.9534206695778749
acl_rr_exp4_unseen_tags_seed3407,holdout_generalization,591,0.0
acl_rr_exp4_unseen_tags_seed3407,test_real,687,0.9519650655021834
