run_name,split,direction,n_gold,rate
acl_rr_exp1_direct_stage3_seed3407,test_real,03s_to_0ed,23,0.0
acl_rr_exp1_direct_stage3_seed3407,test_real,0ed_to_03s,1,0.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,03s_to_0ed,8,0.0
acl_rr_exp2_abs_nonword_seed3407,eval_coverage,0ed_to_03s,10,0.0
acl_rr_exp2_abs_nonword_seed3407,test_coverage,03s_to_0ed,10,0.0
acl_rr_exp2_abs_nonword_seed3407,test_coverage,0ed_to_03s,9,0.0
acl_rr_exp2_abs_nonword_seed3407,test_real,03s_to_0ed,23,0.0
acl_rr_exp2_abs_nonword_seed3407,test_real,0ed_to_03s,1,1.0
acl_rr_exp2_abs_off_no_recon_seed3407,eval_coverage,03s_to_0ed,6,0.0
acl_rr_exp2_abs_off_no_recon_seed3407,eval_coverage,0ed_to_03s,10,0.0
acl_rr_exp2_abs_off_no_recon_seed3407,test_coverage,03s_to_0ed,10,0.0
acl_rr_exp2_abs_off_no_recon_seed3407,test_coverage,0ed_to_03s,9,0.0
acl_rr_exp2_abs_off_no_recon_seed3407,test_real,03s_to_0ed,22,0.0
acl_rr_exp2_abs_off_no_recon_seed3407,test_real,0ed_to_03s,1,0.0
acl_rr_exp2_abs_on_manual_seed3407,test_real,03s_to_0ed,23,0.0
acl_rr_exp2_abs_on_manual_seed3407,test_real,0ed_to_03s,1,0.0
acl_rr_exp4_unseen_tags_seed3407,test_real,03s_to_0ed,23,0.0
acl_rr_exp4_unseen_tags_seed3407,test_real,0ed_to_03s,1,0.0
