run_name,experiment,split,focus_left,focus_right,focus_left_support,focus_right_support,focus_left_pred_right_count,focus_right_pred_left_count,focus_left_pred_right_rate,focus_right_pred_left_rate
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:03s:a],[* m:0ed],24,1,0,0,0.0,0.0
recon_full_comp_preserve_final_seed3407,unknown,test_real,[* m:03s:a],[* m:base:ed],24,2,1,0,0.041667,0.0
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:03s:a],[* m:0ed],11,10,0,0,0.0,0.0
recon_full_comp_preserve_final_seed3407,unknown,test_coverage,[* m:03s:a],[* m:base:ed],11,10,0,1,0.0,0.1
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:03s:a],[* m:0ed],0,0,0,0,0.0,0.0
recon_full_comp_preserve_final_seed3407,unknown,holdout_generalization,[* m:03s:a],[* m:base:ed],0,0,0,0,0.0,0.0
recon_full_comp_nonword_only_seed3407,unknown,test_real,[* m:03s:a],[* m:0ed],24,1,0,1,0.0,1.0
recon_full_comp_nonword_only_seed3407,unknown,test_real,[* m:03s:a],[* m:base:ed],24,2,0,0,0.0,0.0
recon_full_comp_nonword_only_seed3407,unknown,holdout_generalization,[* m:03s:a],[* m:0ed],0,0,0,0,0.0,0.0
recon_full_comp_nonword_only_seed3407,unknown,holdout_generalization,[* m:03s:a],[* m:base:ed],0,0,0,0,0.0,0.0
