review_id,input,human_annotation,notes
ENNI_TAG_001,and &+ul Lala put it on the water.,,
ENNI_TAG_002,there was a cheese was all aten.,,
ENNI_TAG_003,and she got a elephant to come.,,
ENNI_TAG_004,&=deep_voice he zoom it said the elephant.,,
ENNI_TAG_005,and the giraffe got the ball and give to &-um the [/] the elephant.,,
ENNI_TAG_006,but he gots no money.,,
ENNI_TAG_007,then the sandcastle is broke all day [//] down.,,
ENNI_TAG_008,(..) she sees him knocked out.,,
ENNI_TAG_009,&+ha and the bunny tie this off.,,
ENNI_TAG_010,and [/] and [/] and the dog cry.,,
ENNI_TAG_011,and [//] &-uh and [//] &-um and [/] &+l and Longneck <had a> [/] had a airplane.,,
ENNI_TAG_012,he talk the mom to give him the balloon.,,
ENNI_TAG_013,they told him [/] him what had happened.,,
ENNI_TAG_014,they sawed balloons.,,
ENNI_TAG_015,a elephant was bouncing ball by a pool.,,
ENNI_TAG_016,then he got a owie.,,
ENNI_TAG_017,and then she start to cry.,,
ENNI_TAG_018,the elephant and the giraffe seen a diving board.,,
ENNI_TAG_019,and the giraffe &+s he's crying to lost his [/] his airplane.,,
ENNI_TAG_020,he [/] he said &-uh giraffe was playing with <her boat> [//] &-um his plane.,,
ENNI_TAG_021,the boy's dig more sand.,,
ENNI_TAG_022,so he didn't got the airplane.,,
ENNI_TAG_023,(.) the boy got a airplane.,,
ENNI_TAG_024,<and then> [/] and then him put more sand on it.,,
ENNI_TAG_025,and she grab [!] it away.,,
ENNI_TAG_026,there's a [/] &+b a elephant and a giraffe.,,
ENNI_TAG_027,and she catched it for him.,,
ENNI_TAG_028,<the giraffe hurt her knee> [//] <so the> [/] I mean the elephant hurt [/] hurt her knee.,,
ENNI_TAG_029,"<the rabbit> [//] no, the dog went on the grass and eat things.",,
ENNI_TAG_030,"and [/] and the elephant say +""/.",,
ENNI_TAG_031,I've build it.,,
ENNI_TAG_032,and the doctor was came and saw the rabbit.,,
ENNI_TAG_033,and then he [//] the child [!] pull the dad's shirt.,,
ENNI_TAG_034,George has a airplane with him.,,
ENNI_TAG_035,and the elephant went and <jump on the> [//] &-um <in the> [/] jump in the swimming pool.,,
ENNI_TAG_036,once upon a time there was a giraffe and a elephant were playing ball together.,,
ENNI_TAG_037,and there's breaked the [/] the sandcastle.,,
ENNI_TAG_038,once upon a time there was a giraffe and a elephant playing around the pool.,,
ENNI_TAG_039,he buy a can.,,
ENNI_TAG_040,then [//] and then the elephant &-um catch it.,,
ENNI_TAG_041,then [/] then [/] and the elephant <drop it> [/] is drop airplane in the pool.,,
ENNI_TAG_042,the [/] the [/] the [/] the doctor told the rabbit to <go to his> [/] <his office to see if he was all> [//] go to his office <to see> [/] <to see him if he> [//] &+wa to check his mouth again.,,
ENNI_TAG_043,"+"" I throwed it in the pool.",,
ENNI_TAG_044,then [/] then the lifeguard put the elephant on the bench.,,
ENNI_TAG_045,and they spilled all over the floor.,,
ENNI_TAG_046,"+"" oh no we should have playing with it outside!",,
ENNI_TAG_047,and the [/] the lady give two five cents for the man.,,
ENNI_TAG_048,(.) &-um the rabbit sees I think his dad and [/] and I think goes [/] goes to him.,,
ENNI_TAG_049,there's a giraffe and a elephant by the pool.,,
ENNI_TAG_050,the doctor look at the rabbit.,,
ENNI_TAG_051,and [/] and the bunny tie him.,,
ENNI_TAG_052,then <it sinked> [//] &+th the &-um airplane sinked into the water.,,
ENNI_TAG_053,and then she just sit down on the bench.,,
ENNI_TAG_054,(.) one of the rabbits are really fat.,,
ENNI_TAG_055,and [/] and &+ahh &-um the elephant wanna go on the water.,,
ENNI_TAG_056,the giraffe was playing with a airplane.,,
ENNI_TAG_057,and he wreck the dog's castle.,,
ENNI_TAG_058,then the dog stand here.,,
ENNI_TAG_059,and the doctor give them &-uh two [//] &-uh five cents for two balloons.,,
ENNI_TAG_060,once upon a time there was a giraffe and a elephant around the pool.,,
ENNI_TAG_061,we packing pine cones.,,
ENNI_TAG_062,she xxx grab it away from him.,,
ENNI_TAG_063,&-uh &-um the dog wanna build a sandcastle.,,
ENNI_TAG_064,&-uh the elephant saw the cow had a airplane.,,
ENNI_TAG_065,so he pick a balloon first.,,
ENNI_TAG_066,"+"" doctor &-um I tooked a balloon off my friend's wagon.",,
ENNI_TAG_067,and he fix [/] fixing him.,,
ENNI_TAG_068,and <the elephant don't know how> [//] &+no the elephant don't know how you take it out.,,
ENNI_TAG_069,and the rabbit choosed the blue one.,,
ENNI_TAG_070,and he's making it unloose to take it.,,
ENNI_TAG_071,and the other elephant <was act> [//] wasn't just a ordinary elephant.,,
ENNI_TAG_072,then her got mad.,,
ENNI_TAG_073,missus elephant was thinking.,,
ENNI_TAG_074,and then the elephant stay here sit down and watch.,,
ENNI_TAG_075,once there was a dog who build a castle.,,
ENNI_TAG_076,<the mom> [/] the mom was looking at his daughter.,,
ENNI_TAG_077,and [/] and then he play with his airplane.,,
ENNI_TAG_078,and the rabbit was have the carrot and some hot dogs and some cake and some sandwiches.,,
ENNI_TAG_079,"missus giraffe was happy, also the lifeguard <and mister> [/] and mister giraffe.",,
ENNI_TAG_080,and us trying to build it again.,,
ENNI_TAG_081,"they was making a &+ss sandcastle, the [/] &-um the [/] &-um the dog.",,
ENNI_TAG_082,then she fell down and hurt she's knee.,,
ENNI_TAG_083,and the giraffe had a airplane.,,
ENNI_TAG_084,it flewed away.,,
ENNI_TAG_085,and then &+h her [!] have to cry [!].,,
ENNI_TAG_086,they went swimming with a airplane.,,
ENNI_TAG_087,dog wagon him hide.,,
ENNI_TAG_088,and she tries to tell them that it was a accident.,,
ENNI_TAG_089,&+s and donkey catched it.,,
ENNI_TAG_090,&-um one day a boy wen^t &-um shopping to do erra(nd)s [/] errands for his mother.,,
ENNI_TAG_091,so he ask is him if he could have some money.,,
ENNI_TAG_092,and then he just stay in the water.,,
ENNI_TAG_093,it float away.,,
ENNI_TAG_094,and the balloon flied away.,,
ENNI_TAG_095,and she fall down.,,
ENNI_TAG_096,then Kerrick unloosed it.,,
ENNI_TAG_097,well he were in the sandbox.,,
ENNI_TAG_098,then she feeled better.,,
ENNI_TAG_099,&~aah and he woked up.,,
ENNI_TAG_100,it costed five cents.,,
